JGI_id,YALI0_id,glucose_1,glucose_2,glucose_3,glycerol_1,glycerol_2,glycerol_3,oleic_acid_1,oleic_acid_2,oleic_acid_3
jgi.p|Yarli1|67254,YALI0D05533g,63.24,62.39,59.43,57.08,40.05,41.99,35.94,35.44,38.35
jgi.p|Yarli1|67255,YALI0D05547g,79.85,72.82,84.07,91.12,102.56,108.61,72.64,97.54,74.46
jgi.p|Yarli1|67256,YALI0D05577g,20.47,19.16,17.17,15.81,16.36,18.09,13.71,15.08,13.65
jgi.p|Yarli1|67257,YALI0D05599g,127.31,140.15,150.69,159.11,145.54,158.24,129.19,114.94,135.88
jgi.p|Yarli1|67258,YALI0D05621g,43.59,38.04,29.35,39.01,49.54,46.34,58.67,73.46,61.12
jgi.p|Yarli1|67259,YALI0D05665g,74.23,72.87,69.07,76.16,81.43,79.96,62.83,48.51,54.76
jgi.p|Yarli1|67260,YALI0D05676g,16.6,17.99,17.45,26.79,35.35,32.86,25.78,20.91,32.5
jgi.p|Yarli1|67261,YALI0D05687g,36.27,47.89,44.59,44.93,35.38,55.37,35.88,34.9,43.43
jgi.p|Yarli1|67262,YALI0D05697g,1129.65,925.77,1020.97,1245.9,1100.19,1165.99,620.91,920.56,808.21
jgi.p|Yarli1|67263,YALI0D05731g,3282.78,3272.24,3092.91,2901.67,2327.19,2317.09,995.42,1667.11,1336.4
jgi.p|Yarli1|67264,YALI0D05753g,1991.63,1931.67,1693.39,1531.3,1342.01,1426.32,869.32,1194.12,1051.73
jgi.p|Yarli1|67265,YALI0D05775g,23.83,22.47,23.03,19.08,19.17,18.22,16.31,15.59,14.57
jgi.p|Yarli1|67266,YALI0D05797g,424.34,455.81,470.72,456.76,410.85,411.05,189.17,196.91,209.25
jgi.p|Yarli1|67267,YALI0D05819g,2.05,1.53,2.17,2.91,2.83,4.22,2.95,3.21,2.29
jgi.p|Yarli1|67268,YALI0D05841g,7.93,8.74,8.61,9.13,9.15,9.72,12.49,10.9,9.75
jgi.p|Yarli1|67269,YALI0D05863g,26.12,26.11,26.05,34.01,30.56,37.86,52.65,51.76,56.08
jgi.p|Yarli1|67270,YALI0D05929g,76.07,87.86,85.84,53.12,48.64,71.07,126.02,129.29,139.93
jgi.p|Yarli1|67271,YALI0D05973g,10.37,10.23,11.26,9.9,8.86,9.21,10.88,10.9,9.84
jgi.p|Yarli1|67272,YALI0D05995g,164.99,201.76,183.5,234.24,241.97,211.09,243.12,218.68,196.77
jgi.p|Yarli1|67273,YALI0D06017g,53.13,43.43,52.58,45.65,41.23,41.57,40.23,59.27,41.99
jgi.p|Yarli1|67274,YALI0D06039g,1116.18,1077.3,1133.79,826.16,792.56,740.3,720.98,570.79,647.8
jgi.p|Yarli1|67275,YALI0D06061g,15.79,16.15,12.77,18.59,15.05,17.39,12.25,12.01,12.13
jgi.p|Yarli1|67276,YALI0D06083g,45.24,54.26,54.03,64.45,74.07,68.74,114.71,80.37,91.75
